window_start_utc,official_context_visible,official_incident_active,official_incident_resolved_48h,max_event_strength_72h,max_attention_state_72h,hours_since_latest_context,visible_context_ids,announcement_in_next_window
2025-09-17T17:00:00Z,0,0,0,0,0,,,0
2025-09-18T17:00:00Z,0,0,0,0,0,,,0
2025-09-19T17:00:00Z,0,0,0,0,0,,,0
2025-09-20T17:00:00Z,0,0,0,0,0,,,0
2025-09-21T17:00:00Z,0,0,0,0,0,,,0
2025-09-22T17:00:00Z,0,0,0,0,0,,,0
2025-09-23T17:00:00Z,1,0,1,4,3,19.033,CTX_STATUS_01K5SPYMA9ZPZW5RGZ8BZ9P4JQ,0
2025-09-24T17:00:00Z,1,0,1,4,3,43.033,CTX_STATUS_01K5SPYMA9ZPZW5RGZ8BZ9P4JQ,0
2025-09-25T17:00:00Z,1,0,0,4,3,67.033,CTX_STATUS_01K5SPYMA9ZPZW5RGZ8BZ9P4JQ,0
2025-09-26T17:00:00Z,0,0,0,0,0,,,0
2025-09-27T17:00:00Z,0,0,0,0,0,,,0
2025-09-28T17:00:00Z,0,0,0,0,0,,,0
2025-09-29T17:00:00Z,0,0,0,0,0,,,0
2025-09-30T17:00:00Z,0,0,0,0,0,,,0
2025-10-01T17:00:00Z,0,0,0,0,0,,,0
2025-10-02T17:00:00Z,0,0,0,0,0,,,0
2025-10-03T17:00:00Z,1,1,0,4,3,21.467,CTX_STATUS_01K6KAAN7WXN69E8JET8PYB0D5,0
2025-10-04T17:00:00Z,1,0,1,4,3,45.467,CTX_STATUS_01K6KAAN7WXN69E8JET8PYB0D5,0
2025-10-05T17:00:00Z,1,0,1,4,3,69.467,CTX_STATUS_01K6KAAN7WXN69E8JET8PYB0D5,0
2025-10-06T17:00:00Z,0,0,0,0,0,,,0
2025-10-07T17:00:00Z,0,0,0,0,0,,,0
2025-10-08T17:00:00Z,0,0,0,0,0,,,0
2025-10-09T17:00:00Z,0,0,0,0,0,,,0
2025-10-10T17:00:00Z,0,0,0,0,0,,,0
2025-10-11T17:00:00Z,0,0,0,0,0,,,0
2025-10-12T17:00:00Z,0,0,0,0,0,,,0
2025-10-13T17:00:00Z,0,0,0,0,0,,,0
2025-10-14T17:00:00Z,0,0,0,0,0,,,0
2025-10-15T17:00:00Z,0,0,0,0,0,,,0
2025-10-16T17:00:00Z,0,0,0,0,0,,,0
2025-10-17T17:00:00Z,0,0,0,0,0,,,0
2025-10-18T17:00:00Z,0,0,0,0,0,,,0
2025-10-19T17:00:00Z,0,0,0,0,0,,,0
2025-10-20T17:00:00Z,0,0,0,0,0,,,0
2025-10-21T17:00:00Z,0,0,0,0,0,,,0
2025-10-22T17:00:00Z,0,0,0,0,0,,,0
2025-10-23T17:00:00Z,0,0,0,0,0,,,0
2025-10-24T17:00:00Z,0,0,0,0,0,,,0
2025-10-25T17:00:00Z,0,0,0,0,0,,,0
2025-10-26T17:00:00Z,0,0,0,0,0,,,0
