forecast_id,run_id,model,horizon_hours,issued_at_utc,data_cutoff_at_utc,window_end_utc,probability,schedule_class,training_end_utc,payload_sha256
RUN7_20260728T080000Z_M0_24H,RUN7_20260728T080000Z,M0_beta11_v1,24,2026-07-28T08:00:00Z,2026-07-28T08:00:00Z,2026-07-29T08:00:00Z,0.12380952,bootstrap,2026-07-28T00:00:00Z,1dea378aba159ee949261ed478726f532a3449758ec1e4394e7fa8a84bb010c1
RUN7_20260728T080000Z_M0_168H,RUN7_20260728T080000Z,M0_beta11_v1,168,2026-07-28T08:00:00Z,2026-07-28T08:00:00Z,2026-08-04T08:00:00Z,0.60354884,bootstrap,2026-07-28T00:00:00Z,1dea378aba159ee949261ed478726f532a3449758ec1e4394e7fa8a84bb010c1
RUN7_20260728T080000Z_M2_24H,RUN7_20260728T080000Z,M2_logistic_C0.25_v1,24,2026-07-28T08:00:00Z,2026-07-28T08:00:00Z,2026-07-29T08:00:00Z,0.34336994,bootstrap,2026-07-28T00:00:00Z,1dea378aba159ee949261ed478726f532a3449758ec1e4394e7fa8a84bb010c1
RUN7_20260728T080000Z_M2_168H,RUN7_20260728T080000Z,M2_logistic_C0.25_v1,168,2026-07-28T08:00:00Z,2026-07-28T08:00:00Z,2026-08-04T08:00:00Z,0.85939836,bootstrap,2026-07-28T00:00:00Z,1dea378aba159ee949261ed478726f532a3449758ec1e4394e7fa8a84bb010c1
RUN7_20260728T080000Z_M3_24H,RUN7_20260728T080000Z,M3_lite_C0.25_v1,24,2026-07-28T08:00:00Z,2026-07-28T08:00:00Z,2026-07-29T08:00:00Z,0.16289013,bootstrap,2026-07-28T00:00:00Z,1dea378aba159ee949261ed478726f532a3449758ec1e4394e7fa8a84bb010c1
RUN7_20260728T080000Z_M3_168H,RUN7_20260728T080000Z,M3_lite_C0.25_v1,168,2026-07-28T08:00:00Z,2026-07-28T08:00:00Z,2026-08-04T08:00:00Z,0.62564093,bootstrap,2026-07-28T00:00:00Z,1dea378aba159ee949261ed478726f532a3449758ec1e4394e7fa8a84bb010c1
RUN7_20260728T074256Z_M0_24H,RUN7_20260728T074256Z,M0_beta11_v1,24,2026-07-28T07:42:56Z,2026-07-28T07:42:56Z,2026-07-29T07:42:56Z,0.12380952,bootstrap,2026-07-28T00:00:00Z,2910130812e9b0e17ac2a1ce9665406a2dadbd74f99ecb983d1ad301d6972729
RUN7_20260728T074256Z_M0_168H,RUN7_20260728T074256Z,M0_beta11_v1,168,2026-07-28T07:42:56Z,2026-07-28T07:42:56Z,2026-08-04T07:42:56Z,0.60354884,bootstrap,2026-07-28T00:00:00Z,2910130812e9b0e17ac2a1ce9665406a2dadbd74f99ecb983d1ad301d6972729
RUN7_20260728T074256Z_M2_24H,RUN7_20260728T074256Z,M2_logistic_C0.25_v1,24,2026-07-28T07:42:56Z,2026-07-28T07:42:56Z,2026-07-29T07:42:56Z,0.34383023,bootstrap,2026-07-28T00:00:00Z,2910130812e9b0e17ac2a1ce9665406a2dadbd74f99ecb983d1ad301d6972729
RUN7_20260728T074256Z_M2_168H,RUN7_20260728T074256Z,M2_logistic_C0.25_v1,168,2026-07-28T07:42:56Z,2026-07-28T07:42:56Z,2026-08-04T07:42:56Z,0.85962349,bootstrap,2026-07-28T00:00:00Z,2910130812e9b0e17ac2a1ce9665406a2dadbd74f99ecb983d1ad301d6972729
RUN7_20260728T074256Z_M3_24H,RUN7_20260728T074256Z,M3_lite_C0.25_v1,24,2026-07-28T07:42:56Z,2026-07-28T07:42:56Z,2026-07-29T07:42:56Z,0.16389650,bootstrap,2026-07-28T00:00:00Z,2910130812e9b0e17ac2a1ce9665406a2dadbd74f99ecb983d1ad301d6972729
RUN7_20260728T074256Z_M3_168H,RUN7_20260728T074256Z,M3_lite_C0.25_v1,168,2026-07-28T07:42:56Z,2026-07-28T07:42:56Z,2026-08-04T07:42:56Z,0.62644718,bootstrap,2026-07-28T00:00:00Z,2910130812e9b0e17ac2a1ce9665406a2dadbd74f99ecb983d1ad301d6972729
