action_id,action_cluster_id,announcement_id,action_at_utc,action_type,reason_type,gold_version
ACT_RESET_2025_09_17_HARD,RESET_2025_09_17,ANN_X_1968163721034994139,2025-09-17T04:02:52.465Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2025_11_05_HARD,RESET_2025_11_05,ANN_X_1986166501435711936,2025-11-05T20:19:29.788Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2025_11_22_HARD,RESET_2025_11_22,ANN_X_1992370994028388670,2025-11-22T23:13:56.096Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2025_12_02_HARD,RESET_2025_12_02,ANN_X_1995988609896513743,2025-12-02T22:49:02.931Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2025_12_17_HARD,RESET_2025_12_17,ANN_X_2001114683047317723,2025-12-17T02:18:14.008Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2025_12_19_HARD,RESET_2025_12_19,ANN_X_2002137269134819610,2025-12-19T22:01:37.530Z,hard_global,mixed_or_unclear,gold_v1
ACT_RESET_2025_12_25_HARD,RESET_2025_12_25,ANN_X_2004100061933064395,2025-12-25T08:01:03.800Z,hard_global,milestone_celebration,gold_v1
ACT_RESET_2026_03_03_HARD,RESET_2026_03_03,ANN_X_2028649088594436225,2026-03-03T01:50:07.855Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2026_03_04_HARD,RESET_2026_03_04,ANN_X_2029308599835738218,2026-03-04T21:30:47.588Z,targeted_or_conditional,incident_compensation,gold_v1
ACT_RESET_2026_03_08_HARD,RESET_2026_03_08,ANN_X_2030474136024400173,2026-03-08T02:42:13.070Z,targeted_or_conditional,community_response,gold_v1
ACT_RESET_2026_03_10_HARD,RESET_2026_03_10,ANN_X_2031216405266481489,2026-03-10T03:51:43.848Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2026_03_11_HARD,RESET_2026_03_11,ANN_X_2031605592352313567,2026-03-11T05:38:13.280Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2026_03_27_HARD,RESET_2026_03_27,ANN_X_2037346989244096581,2026-03-27T01:52:28.969Z,hard_global,launch_promotion,gold_v1
ACT_RESET_2026_04_01_HARD,RESET_2026_04_01,ANN_X_2039248564967424483,2026-04-01T07:48:39.951Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2026_04_07_HARD,RESET_2026_04_07,ANN_X_2041655710346572085,2026-04-07T23:13:48.132Z,hard_global,milestone_celebration,gold_v1
ACT_RESET_2026_04_09_HARD,RESET_2026_04_09,ANN_X_2042299371602264319,2026-04-09T17:51:28.934Z,hard_global,launch_promotion,gold_v1
ACT_RESET_2026_04_17_HARD,RESET_2026_04_17,ANN_X_2044943514832871564,2026-04-17T00:58:21.806Z,hard_global,milestone_celebration,gold_v1
ACT_RESET_2026_04_20_HARD,RESET_2026_04_20,ANN_X_2046367145588916687,2026-04-20T23:15:21.828Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2026_04_28_HARD,RESET_2026_04_28,ANN_X_2048997818673537399,2026-04-28T05:28:43.167Z,hard_global,milestone_celebration,gold_v1
ACT_RESET_2026_05_16_HARD,RESET_2026_05_16,ANN_X_2055707616605835333,2026-05-16T17:51:03.656Z,hard_global,mixed_or_unclear,gold_v1
ACT_RESET_2026_05_23_HARD,RESET_2026_05_23,ANN_X_2058280452851638313,2026-05-23T20:14:35.618Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2026_05_31_HARD,RESET_2026_05_31,ANN_X_2061106703446450392,2026-05-31T15:25:06.269Z,hard_global,mixed_or_unclear,gold_v1
ACT_RESET_2026_06_04_HARD,RESET_2026_06_04,ANN_X_2062329981548802523,2026-06-04T00:25:58.496Z,hard_global,incident_compensation,gold_v1
ACT_BANKED_2026_06_12_BANKED,BANKED_2026_06_12,ANN_X_2065225362544726371,2026-06-12T00:11:11.119Z,banked_credit,launch_promotion,gold_v1
ACT_RESET_2026_06_18_HARD,RESET_2026_06_18,ANN_X_2067399435009622521,2026-06-18T00:10:10.387Z,hard_global,mixed_or_unclear,gold_v1
ACT_RESET_2026_06_18_BANKED,RESET_2026_06_18,ANN_X_2067399435009622521,2026-06-18T00:10:10.387Z,banked_credit,mixed_or_unclear,gold_v1
ACT_RESET_2026_06_26_HARD,RESET_2026_06_26,ANN_X_2070653282440405046,2026-06-26T23:39:48.068Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2026_06_28_HARD,RESET_2026_06_28,ANN_X_2071381664853319742,2026-06-28T23:54:07.968Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2026_06_29_HARD,RESET_2026_06_29,ANN_X_2071740419030053227,2026-06-29T23:39:41.629Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2026_06_29_BANKED,RESET_2026_06_29,ANN_X_2071740419030053227,2026-06-29T23:39:41.629Z,banked_credit,incident_compensation,gold_v1
ACT_RESET_2026_07_09_HARD,RESET_2026_07_09,ANN_X_2075330198887940337,2026-07-09T21:24:11.842Z,hard_global,launch_promotion,gold_v1
ACT_RESET_2026_07_10_HARD,RESET_2026_07_10,ANN_X_2075641131002700120,2026-07-10T17:59:43.835Z,hard_global,mixed_or_unclear,gold_v1
ACT_RESET_2026_07_11_HARD,RESET_2026_07_11,ANN_X_2075820987833274448,2026-07-11T05:54:25.045Z,hard_global,mixed_or_unclear,gold_v1
ACT_RESET_2026_07_12_HARD,RESET_2026_07_12,ANN_X_2076365965915467978,2026-07-12T17:59:57.945Z,hard_global,milestone_celebration,gold_v1
ACT_BANKED_2026_07_12_BANKED,BANKED_2026_07_12,ANN_X_2076418567143408112,2026-07-12T21:28:59.055Z,banked_credit,incident_compensation,gold_v1
ACT_BANKED_2026_07_13_BANKED,BANKED_2026_07_13,ANN_X_2076735790567338203,2026-07-13T18:29:31.013Z,banked_credit,milestone_celebration,gold_v1
ACT_RESET_2026_07_14_HARD,RESET_2026_07_14,ANN_X_2077114635308986427,2026-07-14T19:34:54.638Z,hard_global,milestone_celebration,gold_v1
ACT_RESET_2026_07_16_HARD,RESET_2026_07_16,ANN_X_2077607697487188198,2026-07-16T04:14:09.822Z,hard_global,milestone_celebration,gold_v1
ACT_RESET_2026_07_18_HARD,RESET_2026_07_18,ANN_X_2078320950488297917,2026-07-18T03:28:22.589Z,hard_global,mixed_or_unclear,gold_v1
ACT_RESET_2026_07_21_HARD,RESET_2026_07_21,ANN_X_2079609157934886975,2026-07-21T16:47:15.178Z,hard_global,milestone_celebration,gold_v1
ACT_RESET_2026_07_25_HARD,RESET_2026_07_25,ANN_X_2081096447718723984,2026-07-25T19:17:12.695Z,hard_global,incident_compensation,gold_v1
ACT_RESET_2026_07_28_HARD,RESET_2026_07_28,ANN_X_2081940052154933696,2026-07-28T03:09:23.666Z,hard_global,launch_promotion,gold_v1
ACT_RESET_2026_07_29_HARD,RESET_2026_07_29,ANN_X_2082317452755751098,2026-07-29T04:09:02.000Z,hard_global,launch_promotion,gold_v1
