announcement_id,announced_at_utc,announcer,source_id,announcement_status,reset_type,reason_type,eligible_plans,quota_windows_affected,explicit_scope,policy_regime,adjudication_status
ANN_X_1968163721034994139,2025-09-17T04:02:52.465Z,thsottiaux,SRC_X_1968163721034994139,claimed_done,hard_global,incident_compensation,,,,pre_banked_reset,accepted
ANN_X_1986166501435711936,2025-11-05T20:19:29.788Z,thsottiaux,SRC_X_1986166501435711936,claimed_done,hard_global,incident_compensation,,,,pre_banked_reset,accepted
ANN_X_1992370994028388670,2025-11-22T23:13:56.096Z,thsottiaux,SRC_X_1992370994028388670,claimed_done,hard_global,incident_compensation,,,,pre_banked_reset,accepted
ANN_X_1995988609896513743,2025-12-02T22:49:02.931Z,thsottiaux,SRC_X_1995988609896513743,in_progress,hard_global,incident_compensation,,,,pre_banked_reset,accepted
ANN_X_2001114683047317723,2025-12-17T02:18:14.008Z,thsottiaux,SRC_X_2001114683047317723,claimed_done,hard_global,incident_compensation,,,,pre_banked_reset,accepted
ANN_X_2002137269134819610,2025-12-19T22:01:37.530Z,thsottiaux,SRC_X_2002137269134819610,claimed_done,hard_global,mixed_or_unclear,,,,pre_banked_reset,accepted
ANN_X_2004100061933064395,2025-12-25T08:01:03.800Z,thsottiaux,SRC_X_2004100061933064395,claimed_done,hard_global,milestone_celebration,,,,pre_banked_reset,accepted
ANN_X_2028649088594436225,2026-03-03T01:50:07.855Z,thsottiaux,SRC_X_2028649088594436225,promised,hard_global,incident_compensation,,,,pre_banked_reset,accepted
ANN_X_2029308599835738218,2026-03-04T21:30:47.588Z,thsottiaux,SRC_X_2029308599835738218,claimed_done,targeted_or_conditional,incident_compensation,,,,pre_banked_reset,accepted
ANN_X_2030474136024400173,2026-03-08T02:42:13.070Z,thsottiaux,SRC_X_2030474136024400173,claimed_done,targeted_or_conditional,community_response,,,,pre_banked_reset,accepted
ANN_X_2031216405266481489,2026-03-10T03:51:43.848Z,thsottiaux,SRC_X_2031216405266481489,promised,hard_global,incident_compensation,,,,pre_banked_reset,accepted
ANN_X_2031605592352313567,2026-03-11T05:38:13.280Z,thsottiaux,SRC_X_2031605592352313567,claimed_done,hard_global,incident_compensation,,,,pre_banked_reset,accepted
ANN_X_2037346989244096581,2026-03-27T01:52:28.969Z,thsottiaux,SRC_X_2037346989244096581,claimed_done,hard_global,launch_promotion,,,,pre_banked_reset,accepted
ANN_X_2039248564967424483,2026-04-01T07:48:39.951Z,thsottiaux,SRC_X_2039248564967424483,claimed_done,hard_global,incident_compensation,,,,pre_banked_reset,accepted
ANN_X_2041655710346572085,2026-04-07T23:13:48.132Z,thsottiaux,SRC_X_2041655710346572085,in_progress,hard_global,milestone_celebration,,,,pre_banked_reset,accepted
ANN_X_2042299371602264319,2026-04-09T17:51:28.934Z,thsottiaux,SRC_X_2042299371602264319,in_progress,hard_global,launch_promotion,,,,pre_banked_reset,accepted
ANN_X_2044943514832871564,2026-04-17T00:58:21.806Z,thsottiaux,SRC_X_2044943514832871564,claimed_done,hard_global,milestone_celebration,,,,pre_banked_reset,accepted
ANN_X_2046367145588916687,2026-04-20T23:15:21.828Z,thsottiaux,SRC_X_2046367145588916687,promised,hard_global,incident_compensation,,,,pre_banked_reset,accepted
ANN_X_2048997818673537399,2026-04-28T05:28:43.167Z,thsottiaux,SRC_X_2048997818673537399,claimed_done,hard_global,milestone_celebration,,,,pre_banked_reset,accepted
