status_incident_id,name,first_public_at_utc,last_update_at_utc,source_url,codex_related,has_rate_limit_language,collection_status
STATUS_01K5SPYMA9ZPZW5RGZ8BZ9P4JQ,Increased error rate for ChatGPT,2025-09-22T21:58:00Z,2025-09-23T00:56:00Z,https://status.openai.com/incidents/01K5SPYMA9ZPZW5RGZ8BZ9P4JQ,1,0,official_page_search_verified
STATUS_01K6KAAN7WXN69E8JET8PYB0D5,Codex and RBAC partial outage,2025-10-02T19:32:00Z,2025-10-03T17:28:00Z,https://status.openai.com/incidents/01K6KAAN7WXN69E8JET8PYB0D5,1,0,official_page_search_verified
STATUS_01K96HVTZ8JZRGWPCADHQ9N061,Degraded availability for Codex web,2025-11-04T04:26:00Z,2025-11-04T05:14:00Z,https://status.openai.com/incidents/01K96HVTZ8JZRGWPCADHQ9N061,1,0,official_page_search_verified
STATUS_01K9ARX310CM6V219R0GF7RNC9,Codex elevated errors,2025-11-05T19:46:00Z,2025-11-05T21:55:00Z,https://status.openai.com/incidents/01K9ARX310CM6V219R0GF7RNC9,1,0,official_page_search_verified
STATUS_01K9G5H5NM4Y19XW4JJM3SK323,Elevated errors for Codex,2025-11-07T22:03:00Z,2025-11-08T02:04:00Z,https://status.openai.com/incidents/01K9G5H5NM4Y19XW4JJM3SK323,1,0,official_page_search_verified
STATUS_01KACCE2MY2Z917Q4J9ZKXZ9F1,Errors creating new tasks in Codex web,2025-11-18T21:02:00Z,2025-11-18T22:19:00Z,https://status.openai.com/incidents/01KACCE2MY2Z917Q4J9ZKXZ9F1,1,0,official_page_search_verified
STATUS_01KAPG4EE5JWEV04TPZ2SNNK8X,Elevated errors for Codex,2025-11-22T22:51:00Z,2025-11-23T06:55:00Z,https://status.openai.com/incidents/01KAPG4EE5JWEV04TPZ2SNNK8X,1,0,official_page_search_verified
STATUS_01KAYA3GKDBP7FES5BB7ANZDV7,Regional errors for ChatGPT,2025-11-25T20:00:00Z,2025-11-25T21:14:00Z,https://status.openai.com/incidents/01KAYA3GKDBP7FES5BB7ANZDV7,1,0,official_page_search_verified_approx_start
STATUS_01KAYQJW0EBMW9MYYBX2WK4TP9,Errors for ChatGPT,2025-11-26T00:04:00Z,2025-11-26T03:06:00Z,https://status.openai.com/incidents/01KAYQJW0EBMW9MYYBX2WK4TP9,1,0,official_page_search_verified
STATUS_01KBGV0B1KYJAGHRD705NWNZXE,Increased errors creating new Codex tasks,2025-12-03T00:50:00Z,2025-12-03T01:46:00Z,https://status.openai.com/incidents/01KBGV0B1KYJAGHRD705NWNZXE,1,0,official_page_search_verified
STATUS_01KBZQFTJVFKP90HA3QJ7Q3WBY,GitHub authentication errors in Codex Web,2025-12-08T18:28:00Z,2025-12-09T05:55:00Z,https://status.openai.com/incidents/01KBZQFTJVFKP90HA3QJ7Q3WBY,1,0,official_page_search_verified
STATUS_01KC2CJTQMDW8ZX3S4S4Q8PPNQ,Codex Web and code review errors,2025-12-09T20:24:00Z,2025-12-09T21:21:00Z,https://status.openai.com/incidents/01KC2CJTQMDW8ZX3S4S4Q8PPNQ,1,0,official_page_search_verified
