status_incident_id,name,first_public_at_utc,last_update_at_utc,source_url,codex_related,has_rate_limit_language,collection_status
STATUS_01KQA5SDSC9P4VGBZ9EPPR06MH,Elevated error rates in Sora API for some users,2026-04-28T13:52:19.243Z,2026-04-28T16:10:47.265Z,https://status.openai.com/incidents/01KQA5SDSC9P4VGBZ9EPPR06MH,0,0,ok
STATUS_01KQB4AMHC9CKFYT863PMXN1YR,Codex stream is disconnecting intermittently,2026-04-28T22:46:00.492Z,2026-04-28T23:12:55.93Z,https://status.openai.com/incidents/01KQB4AMHC9CKFYT863PMXN1YR,1,0,ok
STATUS_01KQBTE67HFNEC7R3J3Y22YC3G,Users may experience elevated error rate for gpt-4o-mini in the API,2026-04-29T05:12:25.584Z,2026-04-29T05:41:04.908Z,https://status.openai.com/incidents/01KQBTE67HFNEC7R3J3Y22YC3G,0,0,ok
STATUS_01KQBXGR1S2JW48DA0795D4MGZ,ChatGPT users may encounter issues in conversation,2026-04-29T05:18:00Z,2026-04-29T05:27:00Z,https://status.openai.com/incidents/01KQBXGR1S2JW48DA0795D4MGZ,0,0,ok
STATUS_01KQDGQKRTSJ02E03R134H5JFD,Elevated errors for ChatGPT Go (5.3 Thinking),2026-04-29T21:01:17.465Z,2026-04-29T22:24:07.33Z,https://status.openai.com/incidents/01KQDGQKRTSJ02E03R134H5JFD,0,0,ok
STATUS_01KQDM1K1826RP1FFN86ZNA3WG,Partial Disruption of ChatGPT Workspace Connector Write Actions,2026-04-29T21:59:10.119Z,2026-05-05T17:00:06.496Z,https://status.openai.com/incidents/01KQDM1K1826RP1FFN86ZNA3WG,0,0,ok
STATUS_01KQGTTQ0XNZDK834NBFFQGMG9,Elevated error rates affecting ChatGPT for some users in Europe,2026-05-01T03:55:28.156Z,2026-05-01T04:02:32.883Z,https://status.openai.com/incidents/01KQGTTQ0XNZDK834NBFFQGMG9,0,0,ok
STATUS_01KQHWZ9710V886SZKWE20HFAX,Elevated error rates for image generation,2026-05-01T13:52:09.44Z,2026-05-01T14:53:55.99Z,https://status.openai.com/incidents/01KQHWZ9710V886SZKWE20HFAX,0,0,ok
STATUS_01KQHYX4D53W6GT8FDTT9PHBQ3,Elevated error rate for Responses API,2026-05-01T14:25:56.132Z,2026-05-01T15:38:32.051Z,https://status.openai.com/incidents/01KQHYX4D53W6GT8FDTT9PHBQ3,0,0,ok
STATUS_01KQSSQK74KJVJVGCS97TV156G,Issue affecting some pages on the ChatGPT website,2026-05-04T15:29:27.267Z,2026-05-04T17:10:21.484Z,https://status.openai.com/incidents/01KQSSQK74KJVJVGCS97TV156G,0,0,ok
STATUS_01KR0PY1JN26FEK5829QZ2F59T,Increased error rate with image generation in the API,2026-05-07T07:55:13.876Z,2026-05-07T09:38:00.581Z,https://status.openai.com/incidents/01KR0PY1JN26FEK5829QZ2F59T,0,0,ok
STATUS_01KR1Q0SWZESWXQVWQRKRDJCHK,Elevated transcription failures affecting ChatGPT &amp; Codex,2026-05-07T17:15:58.75Z,2026-05-08T08:31:20.241Z,https://status.openai.com/incidents/01KR1Q0SWZESWXQVWQRKRDJCHK,1,0,ok
STATUS_01KR3S3Q2RE54PVJ7GZPQNEY8Y,Increased Error Rate for gpt-5.5 model in the API,2026-05-08T12:31:00.183Z,2026-05-08T14:14:41.84Z,https://status.openai.com/incidents/01KR3S3Q2RE54PVJ7GZPQNEY8Y,0,0,ok
STATUS_01KR421V8PCTFKA8EJJC2VCGA3,Degraded Performance with Codex Cloud Tasks,2026-05-08T15:07:16.117Z,2026-05-08T16:17:19.433Z,https://status.openai.com/incidents/01KR421V8PCTFKA8EJJC2VCGA3,1,0,ok
STATUS_01KR50YN2DBMTXGPC6BQSJN48J,Elevated errors for Responses API,2026-05-09T00:07:17.324Z,2026-05-09T00:08:01.972Z,https://status.openai.com/incidents/01KR50YN2DBMTXGPC6BQSJN48J,0,0,ok
STATUS_01KRAA341YK58M05V2DFGDRMFB,Users may experience elevated errors in ChatGPT uploading files and Codex Cloud creating tasks,2026-05-11T01:23:13.085Z,2026-05-11T05:35:41.738Z,https://status.openai.com/incidents/01KRAA341YK58M05V2DFGDRMFB,1,0,ok
STATUS_01KRBZTV511HR7SWVFZJ0438D6,Elevated error rates with GPT 5.5,2026-05-11T16:11:00Z,2026-05-11T17:59:00Z,https://status.openai.com/incidents/01KRBZTV511HR7SWVFZJ0438D6,0,0,ok
STATUS_01KRG0AZKH41DV4D9SNJSXM33Q,Realtime API  - SIP/WebRTC flow are down,2026-05-13T06:28:11.504Z,2026-05-13T09:23:49.825Z,https://status.openai.com/incidents/01KRG0AZKH41DV4D9SNJSXM33Q,0,0,ok
STATUS_01KRG6MF021JQ997JCR7R8Y9A0,Codex 5.5 engines are experiencing high error rate,2026-05-13T08:18:13.633Z,2026-05-13T10:20:14.926Z,https://status.openai.com/incidents/01KRG6MF021JQ997JCR7R8Y9A0,1,0,ok
STATUS_01KRHSDQP7DZPAVANG3R1RCNVW,Issues accessing ChatGPT for logged-out users,2026-05-13T23:05:50.534Z,2026-05-13T23:29:40.872Z,https://status.openai.com/incidents/01KRHSDQP7DZPAVANG3R1RCNVW,0,0,ok
STATUS_01KRM4H2T37TNSS7BCSGXVS8RQ,Codex Cloud and Code Review experiencing high failure rate,2026-05-14T20:58:23.426Z,2026-05-14T21:28:20.435Z,https://status.openai.com/incidents/01KRM4H2T37TNSS7BCSGXVS8RQ,1,0,ok
STATUS_01KRP6FM6HSKWB3MS1EJTY6AT4,GPT5.5 Performance Degradation,2026-05-15T16:11:01.712Z,2026-05-17T00:15:05.79Z,https://status.openai.com/incidents/01KRP6FM6HSKWB3MS1EJTY6AT4,0,0,ok
